PUMFID,JOBINCP,STL_170A,STL_170B,STL_170C,STL_170D,STL_170E,STL_170F,STL_170H,STL_170I,STL_170J,STL_170L,STLP170N,GRADAGEP,GENDER2,CTZSHIPP,HLOSGRDP,PGMCIPAP,REG_INST,BEF_160,PGM_P100,PAR1GRD,PAR2GRD
59494,2,2,2,6,6,6,1,1,6,6,6,6,2,1,1,1,10,3,4,2,2,2
59495,3,2,1,6,6,2,1,2,6,2,6,6,1,2,1,2,9,1,2,2,3,3
59496,5,6,6,6,6,6,6,6,6,6,6,6,2,1,1,2,6,4,5,2,1,1
59497,1,2,1,2,6,1,2,6,6,6,6,6,1,2,1,1,2,1,2,2,2,9
59498,96,1,1,2,2,2,2,2,6,6,6,6,1,2,1,2,4,1,3,2,3,1
59499,96,2,6,1,6,1,6,2,6,6,2,6,2,2,1,3,2,4,2,2,1,1
59500,99,6,6,6,6,6,6,6,6,6,6,6,1,1,3,2,5,2,6,2,9,9
59501,3,2,6,2,2,1,1,2,6,6,6,6,2,2,1,3,2,4,6,2,3,1
59502,3,2,6,6,2,1,2,6,6,6,6,6,3,2,3,3,8,4,6,2,3,2
59503,3,2,6,6,6,2,2,1,6,6,6,6,3,1,9,3,6,4,2,2,1,1
59504,2,1,6,6,6,6,6,6,6,2,6,1,3,2,1,2,5,4,1,1,1,1
59506,96,1,6,2,6,2,2,6,1,2,6,6,3,1,2,3,5,3,6,2,1,1
59508,3,2,6,2,6,1,2,6,2,6,1,6,4,1,1,3,1,3,6,2,1,1
59509,4,1,6,1,6,6,2,6,6,6,6,6,2,2,2,2,5,2,5,1,2,1
59510,4,6,6,6,6,6,6,6,6,6,6,6,3,2,1,3,9,4,6,2,2,2
59511,3,1,6,1,6,6,2,2,6,2,6,6,1,2,1,1,7,4,3,2,1,1
59514,96,2,6,6,6,1,2,6,6,6,6,6,3,1,2,3,6,2,2,2,1,9
59515,96,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,8,2,2,2,3,3
59516,5,6,6,6,6,6,6,6,6,6,6,6,2,1,3,3,7,4,4,2,1,1
59520,96,1,6,2,6,6,2,6,6,6,6,1,3,2,1,2,1,4,6,1,2,1
59521,96,1,6,6,1,2,2,6,2,6,6,6,3,2,1,3,9,3,6,1,1,1
59523,1,2,6,6,6,1,6,6,6,2,6,6,2,1,3,3,4,4,2,2,2,1
59524,5,6,6,6,6,6,6,6,6,6,6,6,3,1,2,3,4,3,6,2,1,1
59528,3,1,6,2,2,2,1,2,6,2,6,6,2,1,1,2,1,4,4,1,1,1
59529,5,2,6,6,6,6,1,1,6,6,6,6,1,1,1,2,4,4,4,2,1,1
59530,2,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,5,2,5,2,3,3
59531,3,1,6,2,6,1,2,2,6,6,6,6,4,2,1,2,5,4,6,1,2,1
59532,96,2,6,6,2,6,1,1,6,6,6,6,1,2,1,1,8,2,2,1,1,1
59534,4,1,2,6,6,2,1,6,6,6,6,6,1,2,1,2,8,4,1,2,1,1
59535,4,6,6,6,6,6,6,6,6,6,6,6,3,2,1,2,4,2,6,2,3,3
59537,4,6,6,6,6,6,6,6,6,6,6,6,3,1,1,3,9,2,6,1,1,1
59539,3,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,10,1,6,1,2,1
59540,5,6,6,6,6,6,6,6,6,6,6,6,2,2,1,3,8,3,6,2,2,1
59541,3,6,6,6,6,6,6,6,6,6,6,6,3,2,3,2,5,2,6,2,1,1
59543,5,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,8,4,5,2,1,1
59546,4,2,6,6,2,1,2,1,6,6,6,6,1,2,1,2,9,4,6,1,2,1
59548,4,2,1,6,6,2,6,1,6,6,6,6,2,2,1,3,9,4,5,1,2,1
59549,4,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,5,1,2,1,1,1
59551,4,1,6,1,6,6,2,6,6,6,6,6,3,2,1,1,9,4,6,1,1,1
59552,2,2,1,6,6,6,1,2,6,6,6,6,2,2,3,2,5,3,2,2,1,1
59555,3,2,6,6,6,1,1,6,2,6,6,9,1,2,1,2,1,1,6,1,2,1
